,通道_00,通道_01,通道_02,通道_03,通道_04,通道_10,通道_11,通道_12,通道_13,通道_14,通道_20,通道_21,通道_22,通道_23,通道_24,通道_30,通道_31,通道_32,通道_33,通道_34,通道_40,通道_41,通道_42,通道_43,通道_44
第 1 分钟内,5772.5071419127635,31561.01057979249,27867.027053701837,33367.57477426884,5216.048521912016,1621.4447768025275,3915.9162328096863,4961.054557133801,6659.399846275861,3668.0189503022266,2420.292451075504,2397.6332875937987,3200.03380899498,3194.155682883633,2454.2095059478343,1608.4088914924032,6218.690898723558,9022.688689127652,9533.277568370613,3192.854469312133,2423.70142184219,2511.0743582928408,6843.094289274071,5807.823678348621,2194.0572440622673
第 2 分钟内,380.8119659048971,1813.820787910634,0.0,0.0,1627.8218494011817,2190.685376536945,8788.099248718558,2495.1990227215647,2823.4575044565427,1321.9991283476993,799.6992010366521,589.2816303774271,1034.348123347394,1115.6221911512002,662.2586188810601,595.7553103270257,1414.4542854887914,2743.493661443492,1117.5969149050507,451.0336623404146,35.96870981906977,2666.7756072227494,2625.226856572219,2038.032401378092,635.2671835678302
第 3 分钟内,2558.4220411423157,16743.58827248469,17338.945381720085,15075.71338078368,1945.3104822743335,1236.1606864669302,4579.236305201921,3069.028528698611,2261.765765123986,916.0799509172357,153.0014995753554,676.7616901670117,701.6755615107104,600.5798350236801,225.1332280879651,359.6363324892118,475.050037133813,1000.6440994059158,1947.3712388952554,536.0283072478123,0.0,0.0,820.0263489455392,1685.2875664564126,227.04473110022445
第 4 分钟内,0.0,0.0,0.0,0.0,35.24842385065858,1068.9532456171291,1543.891434714009,764.9087233890459,1551.0853720956657,985.74879639766,263.31245299139846,0.0,385.6145000018405,582.2788014336184,484.24134285505716,0.0,0.0,0.0,1488.7284405611135,327.51927849427375,107.17520493597112,1555.19381587088,1586.756811199506,674.8794071251978,287.4255895226561
第 5 分钟内,27.938083864806686,0.0,1080.8824501270137,7544.829170783516,891.8880954544729,62.729068186752556,0.0,0.0,0.0,0.0,18.25347307722768,359.67893724930764,1186.2660073831976,686.1257425034892,283.65184641218366,0.9935776952006563,595.3393899098082,553.9644075182005,1117.5910115301667,250.3755380631992,0.0,0.0,0.0,0.0,0.0
第 6 分钟内,167.69707224651938,0.0,0.0,0.0,0.0,268.94286622222717,832.4041500386229,1408.3737281273789,361.1962561438995,495.53826714526076,146.48488302352416,183.10237478834824,0.0,0.0,124.37719942606054,248.74321113526094,156.22216823575582,548.5265364032166,263.5444353709536,236.79352596665922,733.9955200085169,2989.4107694700215,341.6752448680345,2359.319468200876,444.598136660632
第 7 分钟内,0.0,0.0,0.0,3481.412624497141,288.63578239793424,953.640205126183,6219.636249247764,1675.9951416645272,837.8621194922307,340.972863360701,154.11283283105513,225.60468678516918,551.0684318963104,318.6153144309319,100.75217075907858,0.0,47.35728890151222,1271.1045675209389,688.0833291501112,72.99107938418092,0.0,0.0,0.0,0.0,106.07882571102527
第 8 分钟内,0.0,0.0,0.0,0.0,0.0,171.88515665092564,0.0,0.0,483.0707837288064,326.3218347407237,261.95248016766345,239.65726488604196,810.0532989496569,340.4736239195772,0.0,103.21014704369372,0.0,678.0713236553565,702.4962407982603,191.21480200341466,280.7870122801032,0.0,0.0,0.0,177.7455912546211
第 9 分钟内,539.3660368303972,3509.5991245328914,3079.364644227753,15157.38991672828,613.9627046260284,0.0,0.0,0.0,0.0,0.0,218.7874095342122,87.32807011433397,12.430019733437803,96.24266196666576,41.4121521128327,1.6308408761287865,0.0,0.0,0.0,142.1372085758412,1589.3779815094385,4707.158681698536,1942.066285624809,1344.0127225529795,0.0
第 10 分钟内,1855.5289565890562,12185.029895349813,18552.64656896479,3299.0751913667773,1193.8485292850091,313.9963750503448,927.4973646693979,1011.7638034604752,996.4011164651383,313.83324072997493,0.0,279.45264620289527,1082.2116295716187,391.19983462905657,5.944113406127144,0.0,221.72678317477403,1425.386296444005,1008.1119134001055,84.53602833742843,477.2063145791908,1429.5885967434588,3032.4540961878374,1565.913555835934,50.75622536318042
第 11 分钟内,1389.853149644725,14433.958300934872,7208.509492658573,3218.924911994778,316.82755659018585,309.32445026224013,1886.200694878382,813.994741789691,303.3780068579872,87.22974154990516,0.0,109.08763199659734,212.05452183224406,175.62046841964184,189.58892408433894,307.5833964243029,0.0,0.0,0.0,62.930346704550175,121.1363233626762,0.0,160.8652452573442,432.71356484887656,71.0514808495318
第 12 分钟内,251.96718693288858,4851.390357770666,7577.27629672506,6474.680937798286,412.88178361888276,277.56521074807097,0.0,53.44579549412447,310.1739144976673,306.2991251708154,62.90787797802841,124.56868311431026,176.67473502276334,128.6862686414388,143.20304398978624,173.89526237223254,229.31936381119885,450.2901812222117,505.98562660182506,75.51434168936248,1133.9971286244108,570.1008758826065,0.0,0.0,310.72926060589816
第 13 分钟内,260.9750897869235,0.0,1070.4603277005372,1318.0644690650515,692.628351438063,0.0,102.54176060645841,449.82738332098234,250.4231575344893,62.67750123985752,131.91023654787568,92.42437377521856,0.0,0.0,71.90935509654082,63.7010927763622,0.0,0.0,0.0,0.0,0.0,0.0,1317.57059341688,4099.42245283079,229.28445795562584
第 14 分钟内,0.0,0.0,0.0,2467.940724726417,228.4426487198507,194.79924456609297,26.465377421307494,361.0218305122471,41.673285889817635,27.541212832125893,214.357773740805,103.91991823802528,0.0,0.0,3.9986358513342566,0.0,647.9890800297726,148.43330523592886,0.0,0.0,0.0,0.0,0.0,0.0,7.201087489786005
第 15 分钟内,386.08349952771096,1349.7710409613792,2844.0371239934757,3649.58983528096,359.56197316775797,158.05028939055774,508.96686030768615,202.56348558228638,320.1615675523499,60.85850579934777,45.072176394067355,123.55865540113155,401.4270881574412,9.962141460411658,44.6365127607387,232.87227618815086,320.64902866277407,385.6466555457082,711.1283440017141,78.10069952103004,595.807706821397,946.1404400612519,981.8194219095603,30.289484398512286,7.808670037116826
第 16 分钟内,2623.314569920709,24976.282821252884,16332.612604980386,10114.102008525399,570.395109792531,470.55690853062697,4521.018510160298,384.9817044213778,0.0,0.0,181.10607002920733,48.56886178992863,60.446678847984,0.0,27.533137112488475,48.11650591482612,24.509495972059085,0.0,0.0,4.3388612131275295,0.0,0.0,0.0,0.0,24.043644296601997
第 17 分钟内,0.0,0.0,0.0,3330.5214253585145,225.11968286865158,67.9492903467326,161.74577672226587,0.0,319.4910891234904,349.65076448490436,197.4211599629598,106.22655193603714,0.0,97.09184235359862,102.98412336749607,57.69780883219937,0.0,52.874399779764644,587.3951736764138,170.3649588652188,158.93373183913354,0.0,0.0,0.0,0.0
第 18 分钟内,7989.153304396765,62753.339367135675,54227.81892947,83347.54223046007,19662.524197808525,0.0,3448.4733396211523,6628.582071942845,7469.602660632161,9868.241993401658,2075.581545408131,2398.0531236723036,5714.093692290175,7193.193985473128,3682.1816482343256,2789.933224259439,7967.663648117516,11418.555703583814,14688.795348328618,5691.580273483425,8482.651799383857,19819.101890493912,22477.56265502298,11958.91871196642,3791.5493377687744
第 19 分钟内,8740.766351320708,8228.30064144083,5721.197126584695,6227.336748507034,2108.025911098084,1979.8917574281804,2897.196486492743,2651.5272605916107,1670.7869283800283,1560.1973366476086,811.5950523418833,1491.6893154251957,1551.4833936068499,1445.3943728199083,1376.9822280383069,1174.3266930240607,815.7343564969051,1324.229191173381,1847.3103014854678,925.2613607209641,3567.284282596629,3135.5425869158644,3342.1671926874697,1906.975926334395,1039.3964401890353
第 20 分钟内,382.56803922043764,1125.897675130982,568.1292431481052,687.9911630049173,355.3400222391938,166.4655841595668,293.8012552264263,378.6650786641985,447.3080242500873,273.50525751524765,196.21106597741527,165.91848063918587,268.35031814077956,289.1240107589292,227.25525308380566,158.4976131100193,582.0559904062684,706.909530309731,829.7940432724135,203.34842162733912,731.468833352199,879.2275898606385,738.5690840098832,34.37019138058531,146.678176173089
