,通道_00,通道_01,通道_02,通道_03,通道_04,通道_10,通道_11,通道_12,通道_13,通道_14,通道_20,通道_21,通道_22,通道_23,通道_24,通道_30,通道_31,通道_32,通道_33,通道_34,通道_40,通道_41,通道_42,通道_43,通道_44
第 1 分钟内,5.056705355803467,13.517710102562305,16.479172168214003,15.254000596687261,4.974568002557286,3.633570741722332,3.9704295339581197,7.89053904458166,12.00801854541098,8.567691511492583,8.821899121809325,7.89097732380359,8.405682287398548,9.09811581776747,10.52288177296212,6.325904748339882,12.055997942209522,13.871882272353433,14.15282779872396,11.408636151335992,3.6937081402610086,2.702935914563934,7.271931522862231,7.552908344280131,9.625555377766483
第 2 分钟内,0.33359056302652934,0.776866872719077,0.0,0.0,1.5524607280544265,4.909208381552576,8.910437999699445,3.9686048774600287,5.09116900296266,3.0879013613634494,2.914881495499395,1.9394158425740369,2.7169718254182227,3.1776973045978236,2.8395575572180602,2.343117702457834,2.742162013343117,4.217968988817182,1.65915201478181,1.6116233906379416,0.05481612341193512,2.8705336984707492,2.7897423484131467,2.6504027640623353,2.7869826421613446
第 3 分钟内,2.2411728768451815,7.171347437430444,10.253388910485446,6.891868601828867,1.8552510084039464,2.770169768760902,4.642983656497074,4.881278598278933,4.07834427725087,2.1397627781272637,0.5576862391730983,2.2273260795800325,1.8431248514662995,1.7106695600786055,0.965300776724042,1.4144569800643823,0.9209659015705968,1.5384346752659646,2.891010946299643,1.9153243541113596,0.0,0.0,0.8714150652317367,2.1916682096691114,0.9960686478667318
第 4 分钟内,0.0,0.0,0.0,0.0,0.0336165740582083,2.395466865792966,1.5653838808536613,1.2165845140250489,2.796867937589957,2.3024939919310907,0.9597666169532716,0.0,1.012912102152919,1.6585415676706345,2.0762752275609886,0.0,0.0,0.0,2.2101231299746416,1.170284557847152,0.16333444513361112,1.6740202077818795,1.6861943423114953,0.8776613388697236,1.2609657001542605
第 5 分钟内,0.024473708708698447,0.0,0.6391800587453732,3.449121773206757,0.8505975285450801,0.14057247590532554,0.0,0.0,0.0,0.0,0.06653340510086214,1.1837583138213859,3.116021817761858,1.9543353833063202,1.2162102857331458,0.00390776120000336,1.1541674247134792,0.8516894807006212,1.6591432508024164,0.8946362705887455,0.0,0.0,0.0,0.0,0.0
第 6 分钟内,0.14690231861723538,0.0,0.0,0.0,0.0,0.6026865323326653,0.8439920123447844,2.2400132397601453,0.6512976307819214,1.1574692122815713,0.5339333518680035,0.6026178794170237,0.0,0.0,0.5332904797412951,0.9783120876544155,0.30286344335981863,0.8433290561621812,0.3912504366275931,0.8461053288556413,1.1186052880679864,3.2178201754559184,0.36308705955315823,3.0682273920656913,1.9504978718582842
第 7 分钟内,0.0,0.0,0.0,1.5915292199283793,0.2752731922408429,2.1370565294920256,6.306219537482631,2.6656641146622353,1.51080639421081,0.7964381718431671,0.5617370181887245,0.7424994792895058,1.4475178806282967,0.9075321680595194,0.4319937555036144,0.0,0.09181021968183747,1.9542526096182955,1.0215085838834603,0.26081009171921465,0.0,0.0,0.0,0.0,0.4653787470920403
第 8 分钟内,0.0,0.0,0.0,0.0,0.0,0.38518541308251203,0.0,0.0,0.8710579126744679,0.7622165674177942,0.9548095535810079,0.7887486599747852,2.1278058524539087,0.9697925745807082,0.0,0.40592759883014073,0.0,1.042496964939105,1.0429055751250926,0.6832444521897334,0.42791792074383445,0.0,0.0,0.0,0.7797882377068217
第 9 分钟内,0.4724836297517356,1.5031756800594187,1.820982914436839,6.929207063987497,0.585538883000385,0.0,0.0,0.0,0.0,0.0,0.7974740635889344,0.2874100157723893,0.03265052900743789,0.27413406612431224,0.17756233915285172,0.006414130198271533,0.0,0.0,0.0,0.5078814934392175,2.4222036325707417,5.0668146143486785,2.0637700497651865,1.7478500500682244,0.0
第 10 分钟内,1.6254398620844699,5.2188982130329755,10.971111356687842,1.5081735870247308,1.1385784984040563,0.7036490281461841,0.94040901551907,1.609206611852225,1.7966788841899421,0.7330459381636696,0.0,0.9197213375682602,2.842697192866172,1.1142792514525985,0.025486496758392325,0.0,0.4298553642916226,2.1914521910440445,1.4966137521822287,0.302062245006904,0.7272598979643962,1.5388179758308547,3.222489359567239,2.0364257280030764,0.22267279457810885
