,通道_00,通道_01,通道_02,通道_03,通道_04,通道_10,通道_11,通道_12,通道_13,通道_14,通道_20,通道_21,通道_22,通道_23,通道_24,通道_30,通道_31,通道_32,通道_33,通道_34,通道_40,通道_41,通道_42,通道_43,通道_44
第 1 分钟内,0.008250244161770448,0.01093572408089527,0.023985478125270854,0.014926507887217944,0.009257050457080751,0.013662263909976269,0.007238163140538267,0.02387677859902404,0.041181524812682335,0.03723206586630479,0.0567410578805021,0.04765006683677664,0.042649255619314874,0.04919976354564948,0.08122630927547125,0.04526358735077218,0.050069153968966384,0.048079317878958916,0.0469813981302436,0.07866741144246958,0.01051441703847733,0.005782659121856881,0.01633095147552166,0.02020871475749364,0.07863613596544994
第 2 分钟内,0.0006377836988266106,0.0007582077113579833,0.0,0.0,0.0030863290271073707,0.020116021077995927,0.018642177515957203,0.01355068228941203,0.02080605557803361,0.015171659250151848,0.021176115015740016,0.012970649107441057,0.015454811936647439,0.01959812515256476,0.025255506414685103,0.018396810395311936,0.01344027466391251,0.017973522779144657,0.006529715698511129,0.012789973725757409,0.0001987563654085589,0.006617289681309646,0.007006092485928761,0.007870641961466807,0.0260382901528442
第 3 分钟内,0.003908482906065991,0.007461941157318963,0.017901687149965095,0.008167627553156032,0.003802140407822896,0.012257676223061065,0.011159618653665992,0.018333895674448764,0.018469324690171485,0.011068979209252205,0.0042101846726774195,0.015602154566002668,0.011049251537915139,0.011086293078949705,0.008972508327891981,0.01158378053072584,0.004697649169507212,0.0069598225590583596,0.012011641724401612,0.015862373590260548,0.0,0.0,0.00224211139647984,0.006870323207352813,0.009718544577679289
第 4 分钟内,0.0,0.0,0.0,0.0,9.304538517701522e-05,0.011222050898605618,0.003978100793744721,0.004920050226281725,0.013817954487314044,0.01255119199457777,0.007341856863644525,0.0,0.006290199738358981,0.01121299482987359,0.019970418606047202,0.0,0.0,0.0,0.009801975990351153,0.009995818416088542,0.0004845356383432753,0.003803651766596694,0.004515045721887101,0.00277685652535431,0.012632028185131317
第 5 分钟内,8.024779267379323e-05,0.0,0.0011463239411467208,0.004224537907047243,0.0017783746828399227,0.0006587570515024233,0.0,0.0,0.0,0.0,0.0005312359468505612,0.008607947479749578,0.02028953781210341,0.013772913462605008,0.012194705433604236,2.379696723597835e-05,0.0052791581209140626,0.0038286222774330803,0.007740817977345715,0.007906391222042397,0.0,0.0,0.0,0.0,0.0
第 6 分钟内,0.00021652045958286958,0.0,0.0,0.0,0.0,0.0029485838403253695,0.002233804020554453,0.009027100852798453,0.003353536849418526,0.006548826696599841,0.004155462334044624,0.004473080639235794,0.0,0.0,0.005398405687193852,0.007784921306208781,0.001325396692403502,0.0038594206810673715,0.0018892922085090857,0.007561389631066007,0.003097278424388561,0.0068484972135549604,0.0009007206988850269,0.010135923513041156,0.020055816516715508
第 7 分钟内,0.0,0.0,0.0,0.0015784285283809707,0.0005543533514258958,0.010691029771978222,0.01720680437675637,0.011354885489457178,0.00790169996387624,0.004610801905112982,0.004479402366743823,0.005595355429390714,0.009482795786493914,0.006543896528394932,0.004474484466188811,0.0,0.0004225264352700764,0.009247224676085075,0.004971057482899055,0.0023700186447794813,0.0,0.0,0.0,0.0,0.004932278533612999
第 8 分钟内,0.0,0.0,0.0,0.0,0.0,0.0019628718049800042,0.0,0.0,0.004735385162962458,0.004476333542296818,0.007682575461100849,0.006060258923720863,0.014561294467847374,0.007191332911277493,0.0,0.003234728636126505,0.0,0.005171576721193061,0.005195459934524638,0.006306085717148413,0.0011816793998921105,0.0,0.0,0.0,0.00836259826431518
第 9 分钟内,0.000852593846329297,0.0012321608919368954,0.002338983684497753,0.006314190821129995,0.0012072696061843358,0.0,0.0,0.0,0.0,0.0,0.00653445212747461,0.002230742879590908,0.00023602033495129238,0.002055434471976314,0.0018274135392621904,3.627425829066944e-05,0.0,0.0,0.0,0.004750985305577826,0.006964200462959758,0.010752211618071383,0.005213684028750831,0.005791774719586362,0.0
第 10 分钟内,0.002904543029884854,0.004440701754934218,0.01414743182033551,0.0014937857676396993,0.0023270722887280826,0.003634187709112946,0.0027763644351203043,0.007108713290665314,0.009876576283572636,0.004365447586230475,0.0,0.0072553449222945154,0.02066744181724922,0.008534463686514338,0.0002566703254174296,0.0,0.0019794322866348857,0.01110237913850265,0.007683671036111561,0.002848586084607918,0.002159489593345665,0.003525075390408472,0.008652506585611452,0.0070624996332333545,0.002441088839310268
