,通道_00,通道_01,通道_02,通道_03,通道_04,通道_10,通道_11,通道_12,通道_13,通道_14,通道_20,通道_21,通道_22,通道_23,通道_24,通道_30,通道_31,通道_32,通道_33,通道_34,通道_40,通道_41,通道_42,通道_43,通道_44
第 1 分钟内,2.063067707404803,3.4316971830762792,6.883429320501263,4.614763591545612,2.2358743775872583,2.1562959683723513,1.7007379660837714,4.5445377242105645,7.336734342408055,5.737008058563646,6.633568059580563,5.951401553075994,6.129598552084591,6.729593502506462,8.519909677069286,5.032034051109543,8.575657839791468,9.310461335220262,9.260868827014415,9.31807070241498,2.045253743557525,1.32601573554892,3.7663910898064312,4.249708354231737,8.119657950021884
第 2 分钟内,0.1594850925085847,0.23793022281894408,0.0,0.0,0.7454473781370451,3.1748834187357753,4.380318384134112,2.579141344282603,3.7067229342221926,2.337767979151391,2.475688777080204,1.6200090863849528,2.221182796604589,2.68065141340848,2.6490755941159025,2.045206351489867,2.302000086959155,3.480535836931272,1.287123052276325,1.514958701110862,0.03866188671422641,1.5174040280078709,1.6158081390979684,1.6551242025131485,2.6886113750224148
第 3 分钟内,0.9773607556746611,2.3416028294448403,5.137483504432703,2.525149924309211,0.9183387686234175,1.9346118619550305,2.622155201919778,3.4895444617340026,3.2904203851562084,1.7055949339900516,0.49221053700526174,1.948679048730612,1.588010745907388,1.5163943989641266,0.9411354672183354,1.2877896225827488,0.8045958186959563,1.3477553695591182,2.3677081320227575,1.8788811772491174,0.0,0.0,0.5170959205109864,1.4447662941916124,1.0034986685697098
第 4 分钟内,0.0,0.0,0.0,0.0,0.022473442662386777,1.7711605681883396,0.934727073908768,0.936447677211446,2.4617510325331056,1.9339858786250768,0.8583327313222394,0.0,0.9040345171020236,1.5337247928182038,2.094717392116779,0.0,0.0,0.0,1.932143731451699,1.1839939947398732,0.09425138118281567,0.8722115533305155,1.0413005024522626,0.5839475946843791,1.3043335207030873
第 5 分钟内,0.020066876374758243,0.0,0.328975715475457,1.3060820301606066,0.42953448353197893,0.10397070234123446,0.0,0.0,0.0,0.0,0.06210652287362212,1.0751160575548042,2.91603498794037,1.8838730568802962,1.2791149783799078,0.0026455514565514953,0.9041945017720071,0.7414048545976479,1.5258528429328804,0.9365035795263414,0.0,0.0,0.0,0.0,0.0
第 6 分钟内,0.054143411928066744,0.0,0.0,0.0,0.0,0.46537085575244924,0.5248728486472066,1.7181547416732663,0.5974525975804256,1.009094463558405,0.4858129763805628,0.5586791547338548,0.0,0.0,0.5662442288136565,0.865463640662641,0.22700899925508392,0.747368902318655,0.37241308294824665,0.8956385102655504,0.6024794593118055,1.570421994219283,0.20773231858350255,2.1314922471876776,2.07088468965055
第 7 分钟内,0.0,0.0,0.0,0.48799589024215206,0.13389410161794185,1.687350247877437,4.043051380622753,2.1612088601867985,1.407734991651449,0.7104684381753088,0.5236846399413387,0.6988491140328634,1.362877979429098,0.8950807968355613,0.4693331981155323,0.0,0.07236875101562204,1.7907060998979603,0.9798838074816975,0.28072617228860053,0.0,0.0,0.0,0.0,0.5092876718251896
第 8 分钟内,0.0,0.0,0.0,0.0,0.0,0.3097973064639398,0.0,0.0,0.8436371190154897,0.6897485005852662,0.8981659683082568,0.7569146648675467,2.0927654701240117,0.9836378012099862,0.0,0.3596105743220553,0.0,1.0014652293115223,1.0241175202205948,0.746949104977866,0.22985907896460495,0.0,0.0,0.0,0.8634889881862905
第 9 分钟内,0.21320082138230495,0.3866596332055989,0.6712490278475155,1.9521309425880145,0.29159430337151393,0.0,0.0,0.0,0.0,0.0,0.76393945652129,0.2786154882759577,0.03392110559427396,0.2811444094564704,0.19167925313909373,0.0040326742439312484,0.0,0.0,0.0,0.5627491253590315,1.3546692142445405,2.465578810209425,1.202426760032117,1.2179573865541058,0.0
第 10 分钟内,0.7263141323125696,1.3935194039791527,4.060075287775416,0.4618272556554102,0.562062541333631,0.5735787536461231,0.6523572777806557,1.3530223763663844,1.7595709905036057,0.6726623247652491,0.0,0.9061786038318711,2.9703477727506096,1.1673525893850119,0.026922409855212444,0.0,0.3390297750534816,2.149952958114289,1.5145881648326789,0.33741197341549106,0.4200617265608625,0.8083314852522225,1.995518984756365,1.4851792433747413,0.2520572273480464
